"#","Kỳ thứ","Học kỳ","Môn","Mã môn","Mã chuyển đổi","Số tín chỉ","Điểm","Trạng thái"
"1","1","Summer 2022","Tin học cơ sở","COM1014","COM101","3","7.5","Passed"
"2","1","Fall 2022","Tin học","COM1071","COM107","3","7.1","Passed"
"3","1","Spring 2024","Nhập môn lập trình","COM108","COM108","3","8.5","Passed"
"5","1","Fall 2022","Tiếng Anh 1.1","ENT1126","ENT111","3","4.5","Failed - Relearn"
"13","1","Fall 2022","Kỹ năng học tập","SKI1014","SKI101","3","7.9","Passed"
"18","1","Fall 2023","Giáo dục thể chất - Vovinam","VIE103","VIE103","2","6.9","Passed"
"19","1","Fall 2023","Giáo dục quốc phòng","VIE104","VIE104","4","6.5","Passed"
"4","2","Summer 2024","Cơ sở dữ liệu","COM2012","COM201","3","6.4","Passed"
"6","2","","Tiếng Anh 1.2","ENT1225","ENT121","3","0.0","Not started"
"9","2","Fall 2023","Lập trình Java 1","MOB1014","MOB101","3","6.7","Passed"
"20","2","Fall 2023","Xây dựng trang Web","WEB1013","WEB101","3","7.5","Passed"
"22","2","Fall 2023","Lập trình cơ sở với JavaScript","WEB1043","WEB104","3","6.9","Passed"
"7","3","","Tiếng Anh 2.1","ENT2125","ENT211","3","0.0","Not started"
"23","3","Spring 2024","Thiết kế UI/UX","WEB105","WEB105","3","7.4","Passed"
"24","3","Spring 2024","Lập trình PHP 1","WEB2014","WEB201","3","6.0","Passed"
"26","3","Spring 2024","Marketing trên Internet","WEB2053","WEB205","3","8.0","Passed"
"30","3","Spring 2024","Thiết kế Web với HTML5&CSS3","WEB3023","WEB302","3","0.0","On-going Assessment Fail"
"8","4","","Tiếng Anh 2.2","ENT2225","ENT221","3","0.0","Not started"
"10","4","Fall 2024","Dự án 1 (TKTW)","PRO1014","PRO101","3","3.1","Studying"
"17","4","Spring 2024","Pháp luật","VIE1026","VIE102","2","7.8","Passed"
"21","4","Summer 2024","Quản trị website","WEB1022","WEB102","3","8.3","Passed"
"25","4","Summer 2024","Dự án mẫu (TKTW)","WEB2041","WEB204","3","7.0","Passed"
"16","5","Spring 2024","Chính trị","VIE1016","VIE101","4","8.5","Passed"
"27","5","Summer 2024","Lập trình JavaScript nâng cao","WEB2061","WEB206","3","5.5","Passed"
"31","5","Fall 2024","Lập trình ECMAScript","WEB501","WEB501","3","7.8","Passed"
"32","5","Fall 2024","Lập trình TypeScript","WEB502","WEB502","3","8.0","Passed"
"33","5","Fall 2024","NodeJS & Restful Web Service","WEB503","WEB503","3","8.2","Passed"
"14","6","Fall 2024","Phát triển cá nhân 2 (Học phần tự chọn Thay thế môn: SKI2015 - Kỹ năng làm việc)","PDP2011","PDP201","3","6.6","Passed"
"15","6","Summer 2024","Khởi sự doanh nghiệp","SYB3011","SYB301","3","7.0","Passed"
"28","6","","Lập trình Front-End Framework 1","WEB208","WEB208","3","0.0","Not started"
"29","6","","Lập trình Front-End Framework 2","WEB209","WEB209","3","0.0","Not started"
"11","7","","Thực tập tốt nghiệp (TKTW)","PRO116","PRO116","5","0.0","Not started"
"12","7","","Dự án tốt nghiệp (TKTW-Single page Application)","PRO220","PRO220","5","0.0","Not started"